Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
3021	803.081	0.265833	531.639	0.175981	349.624	0.115731	803.081	531.639	153.654	0.050862	268.691	0.0889412	1236043	652835	40846	80555	20595	1985	11948
452	0	0	34.6769	0.0767189	0	0	0	34.6769	1.6853	0.00372854	0	0	310682	372710	126049	13858	13986	6989	0
501	113.094	0.225736	205.089	0.40936	0	0	113.094	205.089	0.138618	0.000276682	6.71608	0.0134053	30570	206731	44282	44372	34252	4469	0
2106	860.346	0.408521	4129.08	1.96063	176.142	0.083638	860.346	4129.08	150.685	0.0715502	164.736	0.0782222	0	450598	23934	24834	24854	9647	0
1838	317.215	0.172587	36.6585	0.0199448	9.18216	0.00499573	317.215	36.6585	15.4449	0.00840311	43.5586	0.0236989	1775764	1754620	400277	31677	30561	1108	537
1020	432.077	0.423605	186.754	0.183092	0	0	432.077	186.754	21.6389	0.0212146	25.0894	0.0245974	38	2116819	105432	535408	401163	3205	400930
1942	358.717	0.184715	756.469	0.389531	430.329	0.22159	358.717	756.469	25.1117	0.0129308	36.4587	0.0187738	20626912	20886051	20642625	20215579	18979094	18906250	17987425
796	105.738	0.132837	0	0	110.951	0.139386	105.738	0	9.71782	0.0122083	22.6428	0.0284457	4398	304815	57190	5341	5341	3189	6273
1434	467.286	0.325862	364.433	0.254137	184.806	0.128874	467.286	364.433	19.4065	0.0135331	19.2368	0.0134148	531682	191910	339453	470872	6952	7553	1001
995	507.414	0.509964	1125.42	1.13108	140.028	0.140732	507.414	1125.42	17.6555	0.0177442	45.3815	0.0456096	1059134	1197141	887368	277757	18223	1876	3701
739	85.2742	0.115391	167.951	0.227268	94.5499	0.127943	85.2742	167.951	40.7609	0.0551568	22.6908	0.0307047	1299357	667746	736077	685078	10028	6370	3062
715	171.365	0.239671	311.479	0.435635	0	0	171.365	311.479	11.5636	0.0161729	3.50196	0.00489784	581444	774952	597998	117529	30735	9079	46493
688	0	0	26.7319	0.0388545	100.636	0.146273	0	26.7319	1.95524	0.00284192	0	0	1047712	1125467	994977	1012698	15973	2318	1591
3562	879.053	0.246786	4249.04	1.19288	526.155	0.147713	879.053	4249.04	56.1766	0.0157711	102.756	0.0288479	2041406	6243804	1290303	467802	93712	5044	0
1214	359.197	0.295879	996.346	0.820713	13.0081	0.010715	359.197	996.346	6.34723	0.00522836	4.26951	0.00351689	1045128	2403898	853863	83872	83872	572	0
1123	635.019	0.565467	816.309	0.7269	80.6121	0.0717828	635.019	816.309	20.406	0.0181709	29.7427	0.026485	266209	76516	23119	18053	18053	7435	2526
1616	0	0	0	0	0	0	0	0	0	0	0	0	304711	20422	10404	1046	1066	102	24164
691	134.281	0.194329	494.649	0.715845	237.753	0.344072	134.281	494.649	86.9789	0.125874	93.9292	0.135932	80650	17898	76274	34387	33567	6748	782
1212	334.198	0.275741	152.257	0.125624	104.434	0.0861665	334.198	152.257	10.6808	0.00881258	7.67552	0.00633294	29706	501461	6947	7486	7506	62434	4721
1010	65.8497	0.0651977	82.645	0.0818267	0	0	65.8497	82.645	8.81316	0.0087259	13.5281	0.0133942	484559	1207047	472824	473959	65195	2917	36240
651	0	0	0	0	0	0	0	0	6.03352	0.00926807	17.3179	0.026602	350300	1019718	188472	11292	5652	332	0
822	0	0	0	0	0	0	0	0	0.021887	2.66e-05	0	0	1905545	349215	17941	18063	7364	53565	59981
742	29.4227	0.0396533	301.69	0.406591	0	0	29.4227	301.69	7.9231	0.010678	0	0	66930	13359	62503	62787	16687	354	1743
727	0	0	0	0	0	0	0	0	1.58316	0.00217766	2.7344	0.00376122	25068	49049	42252	43319	38577	10418	48327
832	157.246	0.188997	880.146	1.05787	142.67	0.171478	157.246	880.146	8.29516	0.00997014	12.1849	0.0146453	3745340	4296301	3334224	2620914	2305578	1706152	1009104
230	367.786	1.59907	233.831	1.01666	0	0	367.786	233.831	4.59627	0.0199838	3.74182	0.0162688	182251	889538	83759	81608	4478	6137	0
1118	159.996	0.143109	327.17	0.292639	18.7551	0.0167756	159.996	327.17	15.0145	0.0134298	46.341	0.0414499	588103	231008	138257	11095	10697	5472	50021
569	0	0	90.6238	0.159269	0	0	0	90.6238	3.50192	0.00615451	5.37286	0.00944264	997401	1135408	948769	216024	79624	4500	36452
810	0	0	0	0	0	0	0	0	0	0	0	0	302948	4207	11907	12072	0	0	0
945	520.893	0.551209	755.028	0.798971	709.268	0.750548	520.893	755.028	11.6949	0.0123756	7.67552	0.00812224	3057816	2299841	140280	87490	140035	213	5971
939	2234.53	2.37969	230.352	0.245317	0	0	2234.53	230.352	16.8968	0.0179944	37.3702	0.0397979	445018	39926	302412	29545	20566	29155	14438
1334	171.241	0.128366	10.8863	0.00816061	238.186	0.17855	171.241	10.8863	10.3452	0.00775505	21.1077	0.0158229	409984	127109	356231	207177	126670	816	5909
866	4.401	0.00508199	350.679	0.404942	41.2541	0.0476375	4.401	350.679	0	0	0	0	738742	503125	224722	26045	26045	1948	24145
560	283.353	0.505987	134.83	0.240768	0	0	283.353	134.83	3.06418	0.00547175	0	0	17266	176163	18085	18259	17507	18220	38403
2843	236.93	0.083338	73.7932	0.0259561	57.1187	0.020091	236.93	73.7932	38.9589	0.0137034	43.1748	0.0151864	9465	1643165	14381	15270	15270	5483	0
1458	9837.35	6.74715	755.137	0.517927	67743.5	46.4633	9837.35	755.137	251.985	0.172829	223.981	0.153622	140125	59127	129488	3700	2538	2476	5668
2050	213.697	0.104243	179.387	0.0875058	0	0	213.697	179.387	21.0261	0.0102566	28.7832	0.0140406	608667	1308353	194226	94384	29051	2729	12783
623	108.496	0.174151	0	0	0	0	108.496	0	7.04032	0.0113007	38.6175	0.0619863	1222258	201707	100391	106723	100132	106851	8799
855	105.738	0.12367	28.7001	0.0335674	12.4683	0.0145828	105.738	28.7001	2.07197	0.00242336	11.7052	0.0136903	109419	172365	20080	21769	20737	1117	11758
2214	827.457	0.373738	5262.25	2.37681	559.542	0.252729	827.457	5262.25	54.2944	0.0245232	66.7771	0.0301613	118221	12924	26211	16184	8160	2646	3295
