Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
779	7.4817	0.00960424	36.6174	0.0470057	0	0	7.4817	36.6174	8.65995	0.0111168	0	0	826543	3571996	791361	101978	20486	6019	0
687	206.683	0.300848	1083.88	1.5777	349.228	0.508337	206.683	1083.88	50.7195	0.0738275	12.7126	0.0185045	112011	55503	55063	44644	26843	12473	0
467	2903.5	6.21735	183.105	0.392088	135.134	0.289366	2903.5	183.105	22.8063	0.0488357	24.5137	0.0524919	373371	1213928	375556	23794	4014	984	10857
1542	211.477	0.137144	319.476	0.207183	221.88	0.143891	211.477	319.476	9.63028	0.00624532	3.21412	0.00208439	173873	465451	8094	73429	8067	102953	0
1943	0	0	108.98	0.0560885	68.0749	0.035036	0	108.98	14.4527	0.00743835	25.4731	0.0131102	3984548	3310448	2415427	1907088	134394	6801	0
1874	294.227	0.157005	237.785	0.126886	0	0	294.227	237.785	21.9308	0.0117026	45.0937	0.0240628	72164	82852	12920	10285	3825	3432	0
1592	529.606	0.332667	2292.43	1.43997	218.381	0.137174	529.606	2292.43	33.0202	0.0207413	30.7021	0.0192852	722170	498177	38469	688517	16030	5060	0
1867	572.724	0.306761	466.814	0.250034	244.25	0.130825	572.724	466.814	26.5562	0.014224	72.9175	0.039056	1595683	39353	123038	268015	113002	17291	192373
1212	166.423	0.137312	0	0	63.505	0.0523969	166.423	0	5.75628	0.0047494	21.1077	0.0174156	79281	603244	27207	18179	8082	2331	17554
2372	1022.42	0.431035	2277.82	0.960296	547.849	0.230965	1022.42	2277.82	99.8193	0.0420823	118.587	0.0499944	1702505	583481	200573	19667	19687	5975	5
1024	0	0	0	0	0	0	0	0	93.2751	0.091089	117.052	0.114308	82764	1635	24779	65921	5741	2258	3567
936	301.208	0.321804	176.793	0.188881	221.883	0.237054	301.208	176.793	10.7246	0.0114579	13.4322	0.0143506	1821302	2112382	734983	287916	14	21306	0
3642	1466.68	0.402713	1239.48	0.34033	436.591	0.119877	1466.68	1239.48	69.6007	0.0191106	94.9846	0.0260803	1196330	1985325	1096205	253770	32029	6695	0
1820	1037.53	0.57007	1377.71	0.756982	678.262	0.372671	1037.53	1377.71	165.641	0.0910114	331.39	0.182083	1000581	633600	362702	362433	3608	811	2629
