DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	DistanceToOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1	851	0	0	0	0	0	0	0	0	0	0	0	0	372688	168629	229481	168721	291456	1065366	936799
1	957	0	0	0	0	0	0	0	0	0.313714	0.00032781	0	0	383954	179895	240747	179987	302722	1076632	948065
1	1801	0	0	0	0	0	0	0	0	2.1887	0.00121527	6.71608	0.00372908	387135	183076	243928	183168	305903	1079813	951246
1	1193	0	0	0	0	0	0	0	0	0	0	0	0	410003	205944	266796	206036	328771	1102681	974114
1	1034	0	0	61.8593	0.0598252	161.522	0.15621	17560.9	28.3698	26.5563	0.025683	292.534	0.282914	420930	216871	277723	216963	339698	1113608	985041
1	1475	703.445	0.476912	747.719	0.506928	641.37	0.434827	3.46E+06	2421.95	119910	81.2949	144457	97.9368	426492	222433	283285	222525	345260	1119170	990603
1	601	0	0	0	0	0	0	0	0	0	0	0	0	7466	58826	1028297	95630	1028070	2323760	1298764
1	622	422.954	0.67999	0	0	0	0	0	0	4.3774	0.00703762	23.0266	0.0370202	88025	39747	18932	18932	17904	425617	252747
1	521	211.477	0.405906	16.842	0.0323263	0	0	686.3	1.43577	8.64537	0.0165938	3.11818	0.00598499	79548	461	47395	46975	66692	177874	5004
1	536	0	0	0	0	0	0	71.4	0.415116	2.1814	0.00406978	6.71608	0.01253	10759	364344	125144	76676	124848	130884	1213801
1	2561	1171.9	0.457593	315.561	0.123218	465.7	0.181843	20178.3	7.87907	100.016	0.0390536	99.0143	0.0386623	0	11019	104924	104924	180198	482184	860476
1	1924	8740.19	4.54272	698.328	0.362956	328.844	0.170917	511.7	0.265956	49.7273	0.0258458	68.3122	0.0355053	10392	5688	13087	7507	6342	173892	0
1	1377	6736.45	4.89212	400.073	0.290539	337.835	0.245341	724.5	0.526144	296	0.21496	187.762	0.136356	22930	987	4706	0	3727	142303	0
1	3849	26644.4	6.92243	1485.48	0.38594	1021.1	0.265289	4768.3	1.23884	756.612	0.196574	593.893	0.154298	18579	0	6585	0	5606	144182	0
1	674	5081.78	7.53973	260.136	0.385959	1706.49	2.53188	126.3	0.187389	45.7001	0.0678043	34.6358	0.0513884	6922	1582	2753	1633	82	198422	0
1	3806	17647.4	4.63674	1448.41	0.380558	489.888	0.128715	2137.2	0.561534	158.447	0.0416309	200.811	0.0527617	0	2725	7758	7798	6153	39911	0
1	1188	7656.08	6.44451	110.949	0.0933912	319.751	0.269151	1629.2	1.37138	89.9337	0.0757018	62.6515	0.0527369	11403	0	10116	1956	1444	86290	0
