DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2
DSB_type	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2
1	1095	1047.76	0.956859	159.857	0.145988	33.4204	0.0305209	428.9	0.391689	15.4814	0.0141383	65.2419	0.0595817
1	872	0	0	118.892	0.136344	0	0	430.4	0.493578	9.54273	0.0109435	7.67552	0.0088022
1	852	355.844	0.417657	425.162	0.499016	135.655	0.159219	687.9	0.807394	12.2275	0.0143516	28.7832	0.0337831
1	536	194.142	0.362206	229.096	0.427418	139.934	0.261071	0	0	3.10795	0.00579841	17.4138	0.0324885
1	553	93.9309	0.169857	222.682	0.40268	79.3816	0.143547	154.2	0.278843	13.9493	0.0252248	17.4138	0.0314898
1	518	99.3002	0.191699	212.322	0.409889	0	0	415.5	0.802124	4.15123	0.00801395	0	0
1	744	0	0	212.954	0.286228	19.1295	0.0257117	0	0	4.76407	0.00640332	12.9524	0.0174092
1	870	285.922	0.328646	162.912	0.187256	32.1376	0.0369397	340.9	0.391839	14.1171	0.0162266	17.5098	0.0201262
1	615	0	0	0	0	72.6921	0.118199	15.5	0.0252033	3.31953	0.0053976	14.3916	0.023401
1	780	0	0	108.875	0.139583	60.3093	0.0773196	7.1	0.00910256	5.64684	0.00723954	13.1443	0.0168517
1	803	41.6489	0.0518666	321.495	0.400367	110.951	0.138171	29.1	0.0362391	12.2421	0.0152455	57.5664	0.0716892
1	865	105.738	0.12224	83.1414	0.0961173	123.194	0.142421	44	0.0582781	5.48634	0.00634259	18.0375	0.0208526
1	396	0	0	68.3065	0.172491	0	0	0	0	0.642018	0.00162126	14.3916	0.0363424
1	675	0	0	0	0	0	0	0	0	2.33461	0.00345868	0	0
1	771	114.826	0.148931	0	0	61.9338	0.0803291	69.9	0.0906615	9.88562	0.0128218	10.0741	0.0130663
1	1493	132.607	0.088819	435.896	0.29196	256.121	0.171548	740.1	0.495713	16.4663	0.011029	24.1779	0.0161942
1	747	51.6342	0.0691221	144.617	0.193597	88.0218	0.117834	375.9	0.634966	3.34141	0.00447311	11.7052	0.0156696
1	720	20.2446	0.0281175	16.8242	0.023367	115.541	0.160473	554.1	0.769583	5.46445	0.00758951	0	0
1	472	339.451	0.719175	67.9289	0.143917	31.125	0.0659429	411.2	0.871186	20.8875	0.0442532	21.7793	0.0461426
1	1169	400.682	0.342756	637.434	0.545282	74.9613	0.0641243	16021.8	13.7056	193.474	0.165504	118.491	0.101361
1	842	4282.13	5.08567	252.729	0.300153	23100.8	27.4356	2035.6	2.41758	51.3761	0.0610167	22.4509	0.0266638
1	1329	3786.33	2.849	250.979	0.188848	4012.91	3.01949	2814.3	2.11761	121.918	0.0917366	216.833	0.163155
1	557	310.641	0.557704	534.774	0.960097	173.835	0.312091	555.3	0.996948	4.07828	0.00732186	7.67552	0.0137801
1	794	23.2981	0.0293427	653.615	0.823193	0	0	384.3	0.484005	4.14394	0.00521906	9.40251	0.011842
1	1118	7517.5	6.72406	214.373	0.191747	108.244	0.0968197	2333.8	2.08748	108.997	0.0974931	52.6733	0.0471138
1	784	3448.43	4.3985	165.363	0.210923	83.3614	0.106328	501.8	0.640051	31.5684	0.0402658	13.624	0.0173776
1	562	0	0	0	0	18.6027	0.0331009	180	0.320285	7.07679	0.0125921	21.2036	0.0377289
1	1353	3489.07	2.57876	319.158	0.235889	4386.97	3.2424	1159.6	0.857058	64.4937	0.0476672	108.417	0.0801306
1	3645	6632.84	1.81971	1623.91	0.445518	52380	14.3704	5257.8	1.50438	584.062	0.160236	502.603	0.137888
1	2063	12100.6	5.86555	595.571	0.288692	558.221	0.270587	1539.8	0.746389	98.0391	0.0475226	83.0875	0.0402751
1	1833	8883.3	4.84632	409.278	0.223283	529.994	0.28914	1141.5	0.62275	41.7239	0.0227626	48.9314	0.0266947
1	530	221.488	0.417902	114.001	0.215096	129.398	0.244147	193.8	0.36566	6.30346	0.0118933	13.4322	0.0253437
1	1122	157.228	0.140132	155.055	0.138195	0	0	427.1	0.38066	8.70373	0.00775733	20.1003	0.0179147
1	1338	0	0	0	0	0	0	0	0	2.1887	0.0016358	15.351	0.0114731
1	562	23.906	0.0425373	433.98	0.772206	60.4492	0.107561	643.1	1.14431	4.99023	0.00887942	20.4361	0.0363631
1	1169	4452.18	3.80854	345.095	0.295206	554.723	0.474528	703.9	0.602139	29.759	0.0254568	39.8168	0.0340605
1	40110	600.07	0.0149606	1831.56	0.0456633	14570.8	0.363271	3687.8	1.68855	1142.28	0.0284787	945.816	0.0235806
1	502	99.1726	0.197555	278.836	0.55545	74.4848	0.148376	356.4	0.70996	8.60159	0.0171346	0	0
1	1729	9583.92	5.54304	780.634	0.451494	90255.3	52.2009	9975	5.76923	1249.69	0.722782	1115.92	0.645416
1	2951	280.638	0.0950991	2902.62	0.983605	424.084	0.143708	1869.7	0.633582	44.5692	0.0151031	178.456	0.060473
1	726	2432.52	3.35058	279.663	0.385211	1889	2.60193	748.4	1.03085	68.9441	0.0949643	45.9572	0.0633019
1	1318	20.2281	0.0153476	68.3668	0.0518716	0	0	0	0	0	0	0	0
1	831	0	0	221.91	0.26704	22.2573	0.0267837	472.2	0.568231	7.81366	0.00940271	10.1221	0.0121806
1	636	34.9395	0.0549363	56.4683	0.0887867	91.8216	0.144374	262.6	0.412893	168.005	0.264158	700.967	1.10215
1	764	105.738	0.1384	0	0	0	0	70.9	0.259707	1.5175	0.00198626	0	0
1	658	122.156	0.185648	153.532	0.233331	8.31222	0.0126326	184.8	0.280851	6.69013	0.0101674	28.3035	0.0430144
1	418	105.738	0.252961	118.892	0.284432	0	0	210.1	0.502632	9.51355	0.0227597	0	0
1	880	214.487	0.243735	352.73	0.400829	0	0	303.2	0.344545	10.2942	0.0116979	0	0
1	737	80.0182	0.108573	422.695	0.573535	91.7313	0.124466	337.8	0.458345	6.26698	0.00850336	11.5613	0.0156869
1	388	215.784	0.556144	446.448	1.15064	37.2599	0.0960308	22.2	0.0572165	34.8149	0.0897292	17.078	0.0440155
1	296	101.341	0.342369	190.75	0.644426	108.855	0.367752	0	0	0.846298	0.00285911	6.71608	0.0226895
1	956	0	0	334.388	0.349778	0	0	32.8	0.0343096	9.30926	0.00973772	14.3916	0.015054
1	1464	249.313	0.170296	391.892	0.267686	85.1653	0.058173	1117	0.762978	13.5116	0.00922922	26.0968	0.0178257
1	1247	278.024	0.222954	647.555	0.51929	128.73	0.103232	284.6	0.228228	25.5932	0.0205238	48.4517	0.0388546
1	1169	111.431	0.0953215	166.561	0.142482	0	0	112	0.0958084	15.2042	0.0130061	33.1007	0.0283154
1	1638	4533.53	2.76772	1067.36	0.651624	378.379	0.231001	2437.3	1.48797	45.6125	0.0278465	37.4182	0.0228438
1	1302	2976.48	2.28608	145.272	0.111576	88.101	0.0676659	511.7	0.393011	52.0181	0.0399525	43.1748	0.0331604
1	779	1.3203	0.00169487	158.887	0.203963	0	0	65.4	0.0839538	10.0242	0.0128681	6.71608	0.00862141
1	1070	423.516	0.39581	333.523	0.311704	0	0	432.4	0.404112	15.6273	0.014605	1.24727	0.00116567
1	527	59.0685	0.112084	296.743	0.56308	26.7806	0.0508171	158	0.29981	9.33116	0.0177062	6.71608	0.012744
1	542	10.1223	0.0186758	377.979	0.697378	85.6893	0.158098	0	0	4.40658	0.00813022	7.67552	0.0141615
1	1539	2853.3	1.85399	766.828	0.498264	568.512	0.369404	1865.8	1.21235	6.27427	0.00407685	7.67552	0.00498734
1	633	717.798	1.13396	237.785	0.375647	157.552	0.248898	241.8	0.381991	1.02139	0.00161358	0	0
1	1286	524.86	0.408134	46.7607	0.0363613	0	0	700.7	0.544868	4.27526	0.00332446	0	0
1	5892	2093.11	0.355246	2178.64	0.369763	1100.8	0.186829	2989.2	0.507332	22.6166	0.00383852	14.3916	0.00244257
1	645	156.671	0.2429	70.1118	0.108701	0	0	331.1	0.663527	3.07877	0.00477329	0	0
1	865	60.6844	0.0701553	16.8431	0.0194718	110.951	0.128267	0	0	6.44936	0.00745591	7.67552	0.00887343
1	508	21.7599	0.0428344	228.298	0.449405	34.3458	0.0676099	0	0	4.0272	0.00792756	27.8238	0.0547712
1	524	424.553	0.810216	0	0	13.0081	0.0248245	557.6	1.06412	8.55052	0.0163178	0	0
1	634	281.609	0.444178	115.061	0.181484	103.688	0.163546	492.7	0.919216	4.90269	0.00773294	0	0
1	619	211.476	0.341642	29.6898	0.0479641	110.951	0.179242	197.7	0.319386	3.50192	0.00565738	6.71608	0.0108499
1	871	255.659	0.293524	486.244	0.558259	0	0	66.5	0.076349	12.1181	0.0139129	0	0
1	660	46.5362	0.0705094	79.0954	0.119842	98.2534	0.148869	455.8	0.690606	12.782	0.0193667	0	0
1	564	0	0	356.705	0.632456	0	0	375	0.664894	3.3633	0.0059633	20.1483	0.0357238
1	916	29.4227	0.0321209	68.3631	0.0746322	0	0	93	0.158433	23.3461	0.025487	29.167	0.0318417
1	778	211.477	0.271821	90.1601	0.115887	110.951	0.142611	596.8	0.767095	2.26166	0.00290701	0	0
1	585	243.227	0.415773	70.2652	0.120112	166.945	0.285376	437.9	0.748547	7.11327	0.0121594	47.2524	0.0807734
1	1073	183.547	0.17106	95.5832	0.0890804	149.894	0.139696	154	0.143523	216.142	0.201437	950.806	0.886119
1	887	289.186	0.326027	206.204	0.232474	87.3669	0.098497	69.5	0.078354	18.7936	0.0211879	21.4435	0.0241753
1	2840	720.423	0.25367	1070.32	0.376874	805.424	0.2836	5645.7	1.98792	67.0472	0.0236082	60.4447	0.0212834
1	389	19.1335	0.0491865	0	0	0	0	7096.1	18.2419	313.583	0.806125	262.743	0.675431
1	2342	424.548	0.181276	312.873	0.133592	198.904	0.084929	18479.4	7.89044	892.501	0.381085	1170.09	0.499609
1	1399	105.738	0.0755811	199.145	0.142348	65.8055	0.0470375	2821.8	2.01701	52.0108	0.0371772	172.891	0.123582
1	572	169.181	0.29577	118.892	0.207854	0	0	1286.5	2.24913	595.837	1.04167	129.525	0.226441
1	1429	0	0	0	0	0	0	336.6	0.332609	1.02139	0.000714761	11.945	0.00835901
1	807	0	0	0	0	0	0	193	1.63559	1.05787	0.00131087	2.63846	0.00326947
1	781	0	0	0	0	0	0	0	0	1.02139	0.0013078	10.7457	0.0137589
1	6381	965.192	0.15126	1108.99	0.173795	769.459	0.120586	15931.2	2.49666	66.7116	0.0104547	184.356	0.0288915
1	535	0	0	0	0	0	0	724.3	1.35383	3.35601	0.00627291	0	0
1	2403	1897.29	0.789551	617.665	0.257039	1254.98	0.522256	3834.8	1.59584	250.825	0.10438	184.788	0.076899
1	1203	3793.27	3.15318	311.912	0.259279	201.297	0.167329	1374.1	1.14223	68.9514	0.0573162	64.4744	0.0535947
1	966	0	0	0	0	0	0	0	0	3.21009	0.00332307	0	0
1	875	1076.53	1.23032	2903.39	3.31816	231.43	0.264491	413.1	0.472114	7.05491	0.00806275	0	0
1	1058	478.277	0.452057	596.026	0.563351	117.185	0.110761	610.6	0.577127	38.5941	0.0364783	35.4993	0.0335532
1	1000	417.979	0.417979	0	0	0	0	156.7	0.1567	10.068	0.010068	16.3105	0.0163105
1	571	82.7514	0.144924	0	0	77.2832	0.135347	0	0	8.65266	0.0151535	5.9965	0.0105018
1	1079	105.738	0.0979962	118.892	0.110188	0	0	88	0.111675	0.452332	0.000419214	0	0
1	416	148.953	0.358059	281.383	0.676401	110.951	0.266709	46.2	0.111058	1.16731	0.00280603	0	0
1	629	211.476	0.33621	356.704	0.567098	0.76518	0.0012165	77.1	0.122576	6.92359	0.0110073	4.84517	0.00770298
1	453	58.6762	0.129528	167.704	0.370208	46.7095	0.103112	0	0	0.510697	0.00112737	0	0
1	1377	109.83	0.0797604	80.6802	0.0585913	0	0	0	0	1.69259	0.00122919	0	0
