DSBType	Size	Sum_H3K36me3	Sum_H3K27me3	Sum_H3K4me3	Sum_CTCF	Sum_DNaseIHSS1	Sum_DNaseIHSS2	DistancetoOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1	925	290	24.7692	58.8811	198.7	2.87449	12.8085	2903	3332	24484	5176	23894	718971	33210
1	706	0	20.8062	22.9554	188.6	11.4688	22.4989	3815	629	16817	17348	16249	146409	26521
1	908	0	0	7.38864	35.5	10.4328	23.0266	7877	3511	5467	5575	166282	157531	207083
1	303	168.261	0	0	0	9.96588	14.7274	14075	8892	16855	16855	106466	222090	271642
1	431	115.641	40.6216	21.1309	0	13.1103	6.33231	0	1274	22798	1843	21008	467570	60764
1	490	0	25.7312	0	267.9	2.15952	0	0	6738	162054	12428	227647	44482	1252304
1	516	0	165.512	39.2521	162.1	4.49413	6.71608	0	3867	30944	25884	31027	4777	62107
1	911	285.033	0	110.951	599.5	3.21009	6.71608	0	5222	23986	23966	22700	282342	160795
1	501	113.094	205.089	0	463	0.138618	6.71608	0	4469	44372	34252	44282	206731	30570
1	720	811.787	0	0	17.7	14.9853	32.9088	8424	1721	105841	6428	22072	755253	98510
1	593	92.041	257.454	0	329	7.71881	6.71608	4956	8914	56793	4239	814038	2350578	1145036
1	970	0	0	0	169.1	3.76456	7.67552	2196	15946	161223	9221	1576744	3113284	1907742
1	350	105.738	0	0	69.1	1.37158	0	0	3255	561485	12417	2300570	3060674	2631568
1	412	0	147.625	78.8135	320.6	15.9556	35.8351	7567	1696	686734	0	2425819	2935363	2756817
1	571	0	17.8339	0	0	1.48102	0	626	19370	618046	29738	2547403	2813620	2878401
1	541	97.7937	0	91.0607	201.2	1.91146	0	29367	3204	3723	3626	2062649	2149548	2511912
1	713	133.322	118.892	0	37.9	5.63225	6.71608	12192	56	250665	30077	1815535	1902434	2264798
1	687	148.444	237.785	0	383.3	6.45666	32.4291	57424	2717	504086	191262	1562140	1649039	2011403
1	552	0	218.96	0	34.5	1.02139	7.67552	37924	19593	610735	84748	1455626	1542525	1904889
1	878	157.787	423.523	181.248	420.2	9.27278	12.5687	1436	9306	866894	14440	934652	1021551	1383915
1	831	0	0	34.1712	108	5.77816	14.7754	1701	328	652544	228837	720302	807201	1169565
1	1071	67.3891	0	0	0	7.2519	11.0336	5148	8433	474221	114757	541979	628878	991242
1	693	105.738	0	0	0	1.86769	12.0889	10937	1528	70013	9431	71568	248959	112594
1	727	70.7984	0	0	0	6.71931	25.4252	2378	6665	5144	5111	23113	931444	300774
1	914	146.194	118.892	0	132.6	6.94547	28.3994	11952	767	190058	17919	51287	1466392	835722
1	463	64.3622	0	0	171.4	3.6916	6.71608	0	7077	3850	44535	183058	1702068	1071398
1	495	0	118.892	110.951	107.8	5.74898	0	5986	0	46234	20974	373037	1892047	1261377
1	579	213.287	116.413	24.4749	45.1	6.03351	7.29174	0	4415	314249	2989	641052	2160062	1529392
1	1254	228.946	432.98	0	0	12.5923	13.72	0	4387	636433	40974	1208434	2074152	1249385
1	854	0	118.892	97.943	110.5	6.44937	13.4322	7793	967	197547	64154	604278	1469996	645229
1	462	57.0065	0	0	0	6.49314	5.6607	19212	15745	42241	15867	448972	1314690	489923
1	961	113.22	736.673	98.8155	194.4	14.5403	13.9119	2353	2505	33561	33278	33386	899104	74337
1	797	188.489	0	169.87	231.7	4.41388	15.3511	9555	2863	16856	17659	17125	742339	9034
1	679	261.127	180.32	50.5019	673	12.1181	7.24377	0	1484	90722	26439	106278	598146	134297
1	598	118.783	129.315	0	94	6.24509	22.0671	10418	6550	19065	19044	271349	405407	8319
1	505	2.2005	0	28.4458	74.4	6.5734	7.67552	6574	404	67547	53627	65652	199710	196760
1	1328	5353.13	719.091	300.193	2125.8	27.0523	37.4182	0	147	19953	6693	12620	11229	0
1	574	89.093	0	0	277.8	0	10.0261	13918	1644	5296	5276	12211	10932	24744
1	923	371.237	60.4103	95.1748	76	23.9517	7.67552	13197	1085	11389	7222	10756	20016	13832
1	493	32.1811	201.137	0	177.9	1.88228	4.22154	1558	9072	22318	10453	160758	133159	71835
1	408	472.725	96.6547	0	270	0.554471	0	0	2005	10303	4613	9573	112138	1021
1	405	0	0	0	0	0	0	0	36715	16313	16293	18033	41847	118168
1	335	33.2268	31.8332	0	275.4	2.6848	0	0	6827	28139	28119	72375	14894	76578
1	637	105.738	237.785	110.951	190.3	6.69013	8.63496	1635	4800	107314	3875	95897	102196	113555
1	638	0	179.227	0	253.9	4.50872	15.351	1785	3164	231329	12688	373844	32747	548538
1	383	0	0	120.611	424	1.8458	11.993	328	8875	8753	8200	8243	429682	18967
1	622	8.58156	0	0	6.9	0	5.56475	712	7933	164413	59164	246193	87091	596256
1	1088	84.0274	64.1994	71.2339	392.9	4.91728	7.67552	0	3489	91098	10591	472556	11030	426221
1	1323	105.738	277.853	0	330.9	18.7353	21.9712	10665	3654	138016	23336	190480	684259	409009
1	686	0	183.542	0	256.9	11.6293	6.71608	0	876	26209	35979	177729	63656	840330
1	418	57.2021	82.4664	0	0	2.1887	0	34516	191	31211	8543	310328	75195	560741
1	739	113.686	262.535	24.5217	348.7	5.5447	14.3916	3959	3859	159522	54022	243896	583010	250550
1	625	452.375	237.785	104.064	314	4.90269	22.4509	32620	6571	7490	7490	7254	149129	22
1	1282	79.993	671.797	110.951	0	10.3744	7.67552	622	5647	93351	8019	71216	43002	166109
1	582	0	0	0	183.7	1.07976	6.42825	3818	2818	168292	2896	250855	101481	222887
1	1398	232.846	470.541	256.694	342.8	33.9978	65.0021	21530	571	84366	10701	88976	235263	59937
1	711	0	32.5748	101.298	157.9	18.137	28.7832	0	1511	1550	1550	31567	310287	12708
1	731	89.8161	380.738	0	7.3	4.31173	28.0157	12881	4778	115163	4343	108312	108937	144945
1	699	0	52.5108	0	0	1.90417	3.69384	328	3276	72009	10964	16606	16029	118079
1	394	55.4051	302.129	0	71.3	5.0486	7.67552	27639	9209	28213	28273	27627	4035	50718
1	667	175.616	387.181	0	335	19.2824	23.1225	20148	326	102759	45018	16177	21957	35027
1	850	0	142.52	0	604.2	3.5238	12.8085	2522	1028	72974	10724	11816	12657	50497
1	787	29.1568	448.416	141.142	131.9	9.02474	7.67552	6403	3936	367101	9068	366311	15709	693259
1	509	168.943	304.684	90.5481	361.7	1.76555	0	0	3503	342763	14545	341973	7809	668921
1	1225	214.706	419.925	0	977.2	6.82874	6.71608	17573	534	261120	17306	260330	33295	587278
1	585	117.928	172.461	73.7504	140.6	9.20713	30.7501	10435	15954	13360	11364	92984	297328	419498
1	758	317.214	0	0	548.4	12.7382	7.67552	39644	12236	44920	7514	219864	170275	538654
1	877	0	196.827	58.4211	214.8	8.59429	7.67552	0	332	2546	2530	144458	18242	306165
1	534	105.738	205.438	6.46464	0	7.29566	14.1038	3187	8034	46692	24743	382942	125290	278360
1	575	0	0	0	0	6.63176	14.3916	6795	30814	45957	25364	476273	218621	371691
1	589	0	267.079	38.8315	125.4	8.20032	0	11321	10188	134573	102230	364841	641970	795040
1	861	246.559	68.3265	0	135.8	10.6881	6.71608	17664	9742	441836	1043	322658	1330473	1483543
1	878	105.738	0	0	32.3	4.93187	2.83035	0	4777	552102	33612	432924	1440739	1593809
1	660	0	11.8759	0	1.6	2.87449	0	17098	7685	483120	10124	516089	1523904	1676974
1	625	282.029	0	34.3608	0	6.51503	0	233	25925	434912	58367	564332	1572147	1725217
1	1174	422.952	0	0	145.8	10.6079	28.7832	947	976	625074	83788	922513	1667245	1804850
1	1075	0	327.952	0	3808.6	13.7742	43.5586	9704	0	4388	3695	306615	269347	478983
1	757	545.991	0	166.001	172.2	9.37493	25.4731	21470	760	115600	27399	2190	436762	26774
1	576	0	119.424	41.1458	70.8	1.02139	0	6395	1500	20725	17125	30730	15875	83797
1	812	235.673	112.131	104.227	847.4	11.0894	6.71608	30678	12313	152697	483	812	17144	362142
1	535	113.683	79.501	0	6.1	4.15853	0	5232	9161	39144	8854	183878	641819	361814
1	421	124.324	118.892	55.2259	36.3	7.10597	9.2586	0	11434	18883	5079	4744	1047900	30555
