DSB_type	Size	Covered	Sum_324YFT	Mean0_324YFT	Mean_324YFT	Sum_533NLA	Mean0_533NLA	Mean_533NLA	Sum_965GIX	Mean0_965GIX	Mean_965GIX	Sum_CTCF	Mean0_CTCF	Mean_CTCF	Sum_709PEX	Mean0_709PEX	Mean_709PEX	Sum_529JFV	Mean0_529JFV	Mean_529JFV
DAuniqueA	1135	1135	0	0	0	0	0	0	0	0	0	0	0	0	6.71608	0.00591725	0.00591725	0	0	0
DAuniqueA	687	687	0	0	0	0	0	0	0	0	0	9	0.0131004	0.130435	0	0	0	0	0	0
DAuniqueA	1709	1709	0	0	0	0	0	0	0	0	0	141.1	0.0825629	0.307407	0	0	0	4.3774	0.00256138	0.00256138
DAuniqueA	715	715	0	0	0	0	0	0	0	0	0	589.1	0.823916	2.59515	0	0	0	1.16731	0.0016326	0.0016326
DAuniqueA	1035	1035	0	0	0	0	0	0	0	0	0	499.1	0.482222	3.08086	6.71608	0.00648897	0.00648897	4.27526	0.00413068	0.00413068
DAuniqueA	714	714	20.6847	0.0289702	0.0289702	0	0	0	0	0	0	491.3	0.688095	0.73991	21.1557	0.0296298	0.0296298	4.58168	0.00641691	0.00641691
DAuniqueA	512	512	162.235	0.316865	0.316865	76.5175	0.149448	0.149448	94.7787	0.185115	0.185115	894.3	1.74668	2.08949	13.3362	0.0260473	0.0260473	15.5252	0.0303226	0.0303226
DAuniqueA	1106	1106	0	0	0	0	0	0	13.7732	0.0124532	0.0124532	1187.6	1.07378	2.49496	26.2887	0.0237691	0.0237691	20.8802	0.018879	0.018879
DAuniqueA	1241	1241	0	0	0	0	0	0	0	0	0	147.7	0.119017	0.928931	0	0	0	2.29084	0.00184596	0.00184596
DAuniqueA	531	531	0	0	0	0	0	0	0	0	0	131.6	0.247834	0.468327	34.5398	0.0650468	0.0650468	21.887	0.0412184	0.0412184
DAuniqueA	895	895	0	0	0	0	0	0	0	0	0	499.9	0.558547	1.22225	38.1378	0.042612	0.042612	11.0238	0.012317	0.012317
DAuniqueA	878	878	0	0	0	0	0	0	0	0	0	420.9	0.479385	1.85419	15.3511	0.0174841	0.0174841	4.55249	0.00518507	0.00518507
DAuniqueA	1149	1149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	403	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	616	616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	794	794	0	0	0	0	0	0	0	0	0	0	0	0	21.1077	0.026584	0.026584	11.819	0.0148854	0.0148854
DAuniqueA	452	452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	601	601	0	0	0	87.1878	0.145071	0.145071	65.8055	0.109493	0.109493	481.3	0.800832	5.34778	0	0	0	1.02139	0.00169949	0.00169949
DAuniqueA	1103	1103	0	0	0	0	0	0	0	0	0	188.6	0.170988	0.977202	0.287832	0.000260954	0.000260954	5.83654	0.00529151	0.00529151
DAuniqueA	457	457	0	0	0	0	0	0	0	0	0	0	0	0	6.71608	0.014696	0.014696	1.3424	0.00293743	0.00293743
DAuniqueA	731	731	0	0	0	0	0	0	0	0	0	438.8	0.600274	3.29925	0	0	0	2.33461	0.00319372	0.00319372
DAuniqueA	1144	1144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	939	939	0	0	0	0	0	0	0	0	0	74.4	0.0792332	1.06286	12.4727	0.013283	0.013283	5.10696	0.00543873	0.00543873
DAuniqueA	1166	1166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.35601	0.00287822	0.00287822
DAuniqueA	944	944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16731	0.00123655	0.00123655
DAuniqueA	551	551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	1162	1162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1887	0.00188356	0.00188356
DAuniqueA	1977	1977	0	0	0	0	0	0	0	0	0	0	0	0	7.67552	0.00388241	0.00388241	0	0	0
DAuniqueA	667	667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	2175	2175	0	0	0	118.892	0.0546632	0.0546632	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	1046	1046	0	0	0	0	0	0	0	0	0	0	0	0	16.1666	0.0154556	0.0154556	2.56077	0.00244816	0.00244816
DAuniqueA	358	358	0	0	0	0	0	0	0	0	0	0	0	0	16.6943	0.046632	0.046632	2.83071	0.00790702	0.00790702
DAuniqueA	644	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	416	416	0	0	0	0	0	0	0	0	0	28.7	0.0689904	0.7	9.88224	0.0237554	0.0237554	1.5029	0.00361275	0.00361275
DAuniqueA	1444	1444	3.67784	0.00254698	0.00254698	0	0	0	0	0	0	0	0	0	7.19581	0.00498325	0.00498325	2.26165	0.00156624	0.00156624
DAuniqueA	899	899	0	0	0	0	0	0	110.951	0.123416	0.123416	168.3	0.187208	0.689754	0	0	0	0	0	0
DAuniqueA	2230	2230	105.738	0.0474161	0.0474161	118.892	0.053315	0.053315	0	0	0	1352.8	0.606637	1.31723	185.172	0.0830367	0.0830367	185.894	0.0833604	0.0833604
DAuniqueA	804	804	0	0	0	0	0	0	0	0	0	927.7	1.15386	4.6385	26.8643	0.0334133	0.0334133	44.5984	0.0554706	0.0554706
DAuniqueA	683	683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233461	0.000341817	0.000341817
DAuniqueA	544	544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	1105	1105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	753	753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	1248	1248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	1544	1544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	554	554	0	0	0	0	0	0	0	0	0	433.9	0.783213	2.1804	0	0	0	2.1887	0.00395072	0.00395072
DAuniqueA	1108	1108	0	0	0	0	0	0	0	0	0	1056.8	0.953791	0.965114	7.67552	0.00692736	0.00692736	7.73341	0.00697961	0.00697961
DAuniqueA	490	490	0	0	0	0	0	0	0	0	0	241.1	0.492041	0.765397	14.3916	0.0293706	0.0293706	3.21009	0.0065512	0.0065512
DAuniqueA	699	699	105.738	0.15127	0.15127	0	0	0	0	0	0	158.8	0.227182	0.411399	6.71608	0.00960813	0.00960813	10.5058	0.0150297	0.0150297
DAuniqueA	1589	1589	0	0	0	74.2578	0.0467324	0.0467324	83.9494	0.0528316	0.0528316	340.3	0.21416	0.768172	28.4474	0.0179027	0.0179027	3.356	0.00211202	0.00211202
DAuniqueA	1432	1432	0	0	0	0	0	0	0	0	0	961.9	0.671718	1.07957	22.0671	0.01541	0.01541	5.10697	0.00356632	0.00356632
DAuniqueA	1131	1131	221.41	0.195764	0.195764	56.4482	0.04991	0.04991	215.713	0.190727	0.190727	2039.1	1.80292	2.89234	59.0536	0.0522136	0.0522136	25.9142	0.0229127	0.0229127
