DSB_type	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	DistancetoOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1	463	88.1978	0.190492	141.876	0.306428	61.2526	0.132295	782.3	1.68963	14.6351	0.0316093	22.6428	0.0489045	6842	0	31875	3462	40537	40166	74593
1	1354	0	0	0	0	0	0	0	0	0	0	0	0	19467	40509	42285	42269	46476	213936	104752
1	406	0	0	0	0	0	0	0	0	0	0	0	0	8193	18034	17776	17776	17283	184743	75559
1	612	740.937	1.21068	124.657	0.203688	76.074	0.124304	695	1.13562	3.7062	0.00605588	0	0	0	282	8825	8825	7612	23582	6970
1	1392	40.4562	0.0290634	0	0	0	0	0	0	2.1887	0.00157234	6.71608	0.00482477	132839	18470	17854	13014	17242	110220	30702
1	466	0	0	118.892	0.255134	0	0	186.6	0.400429	2.65562	0.00569876	0	0	246025	4521	4900	4909	23200	6436	704484
1	631	0	0	0	0	0	0	306.4	1.15188	1.16731	0.00184993	0	0	12127	31598	31632	31632	32601	341073	1082884
1	561	0	0	0	0	0	0	0	0	0	0	0	0	33136	48561	48433	41842	42101	260059	1163968
1	623	108.496	0.174151	0	0	0	0	262.1	0.642402	7.04032	0.0113007	38.6175	0.0619863	8799	106851	106723	100132	100391	201707	1222258
1	803	0	0	0	0	0	0	0	0	0	0	4.41342	0.00549617	0	333278	18230	18230	17934	23970	1320448
1	456	0	0	0	0	0	0	0	0	0	0	0	0	13894	392492	77444	28976	77148	83184	1261581
1	933	0	0	0	0	0	0	0	0	0	0	0	0	7594	398315	83267	34799	82971	89007	1255281
1	781	0	0	0	0	0	0	0	0	0	0	0	0	0	390588	98655	50187	98359	104395	1240045
1	514	0	0	0	0	0	0	0	0	0	0	0	0	8244	379848	109662	61194	109366	115402	1229305
1	453	0	0	0	0	0	0	0	0	0	0	0	0	16680	371473	118098	69630	117802	123838	1220930
1	957	0	0	0	0	0	0	0	0	1.02139	0.00106729	0	0	15916	369501	119566	71098	119270	125306	1218958
1	608	0	0	0	0	0	0	0	0	3.71349	0.00610772	6.71608	0.0110462	0	247254	128602	54542	241866	247902	1096711
1	470	0	0	0	0	0	0	0	0	0	0	0	0	0	244342	125690	51630	244916	250952	1093799
1	371	0	0	0	0	0	0	0	0	0	0	0	0	0	237736	119084	45024	251621	257657	1087193
1	734	0	0	0	0	0	0	0	0	0	0	0	0	0	219361	100709	26649	269633	275669	1068818
1	623	0	0	0	0	0	0	0	0	0	0	0	0	244	217795	99143	25083	271310	277346	1067252
1	749	0	0	0	0	22.9554	0.0306481	0	0	0	0	0	0	0	25895	91860	91860	195074	469120	875352
