Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
2430	0	0	34.6769	0.0142703	110.951	0.0456589	0	34.6769	4.3774	0.0018014	14.3916	0.00592247	31026	39182	3099	3112	3072	3762	3763
2725	724.85	0.266	709.752	0.260459	0	0	724.85	709.752	50.61	0.0185725	44.1343	0.0161961	2464728	1942279	325243	486574	12782	329	40555
1084	673.537	0.621344	109.965	0.101444	0	0	673.537	109.965	6.94547	0.00640726	14.3916	0.0132764	1895852	1068449	680527	439482	49879	6389	2261
689	0	0	0	0	0	0	0	0	0	0	0	0	516615	5670092	187997	88898	58937	32312	47831
469	0	0	118.892	0.253502	0	0	0	118.892	149.43	0.318614	26.1448	0.0557457	2462014	1830403	1824122	164376	63882	7	0
1496	0	0	0	0	0	0	0	0	370.912	0.247936	178.744	0.119481	2009315	1966471	1513945	1514185	1418922	1485713	0
2093	0	0	0	0	0	0	0	0	11.5709	0.00552839	6.71608	0.00320883	513904	127782	59324	62085	74697	1074	0
829	128.724	0.155277	128.771	0.155333	0	0	128.724	128.771	6.85792	0.00827252	14.3916	0.0173602	145290	336104	67424	68471	25652	7469	17225
1458	264.964	0.181731	228.135	0.156471	0	0	264.964	228.135	5.82194	0.0039931	9.21063	0.0063173	81191	9432	78843	8545	8565	662	11795
1087	36.7786	0.0338349	162.977	0.149933	0	0	36.7786	162.977	15.2261	0.0140074	19.1888	0.017653	56551	146901	23607	2054	2094	8921	0
1266	231.704	0.18302	986.837	0.779492	221.902	0.175278	231.704	986.837	34.6106	0.0273386	32.4771	0.0256533	1264181	937357	30652	35493	35473	0	19633
2327	861.659	0.370288	598.863	0.257354	526.228	0.22614	861.659	598.863	1.02139	0.000438932	7.67552	0.00329846	1055199	902450	505001	494746	192710	6695	0
1964	1789.57	0.911187	354.989	0.180748	102.421	0.052149	1789.57	354.989	3.21009	0.00163446	7.67552	0.00390811	29361	299715	163117	52828	20668	2779	0
903	0	0	0	0	0	0	0	0	0	0	0	0	4389088	4361303	831380	346281	346281	866248	1009748
431	0	0	92.1416	0.213786	0	0	0	92.1416	5.18722	0.0120353	7.67552	0.0178086	6479295	12871915	1623107	934872	63203	20879	0
918	0	0	255.14	0.27793	156.698	0.170696	0	255.14	12.4756	0.01359	16.1666	0.0176106	22952	921619	13000	13374	13354	11416	6079
920	0	0	0	0	0	0	0	0	1.02139	0.00111021	30.0785	0.032694	9112	114535	2859	4124	4104	3777	22174
605	309.513	0.511592	241.885	0.39981	72.2584	0.119435	309.513	241.885	6.39101	0.0105636	9.97818	0.0164929	3601	195490	84490	6067	6107	137	11677
634	0	0	57.4258	0.090577	0	0	0	57.4258	1.09435	0.0017261	7.1958	0.0113498	265040	51428	156753	168242	31856	0	18209
1096	0	0	447.863	0.408634	0	0	0	447.863	7.39781	0.00674983	23.1225	0.0210972	177273	801838	564	1246	1266	506	3747
2826	519.735	0.183912	1101.18	0.389659	82.9573	0.029355	519.735	1101.18	100.104	0.0354224	111.055	0.0392977	455052	34107	33642	258065	33681	10492	0
1815	276.748	0.152478	385.195	0.212229	426.301	0.234877	276.748	385.195	1951.19	1.07504	2460.49	1.35564	3240256	473336	618854	441841	329216	341382	661882
2442	454.795	0.186239	1631.24	0.667995	62.3329	0.0255254	454.795	1631.24	20.3038	0.00831443	35.7391	0.0146352	1100548	53458	341618	202436	76986	0	42924
690	0	0	0	0	0	0	0	0	0	0	0	0	88677	754427	49805	9253	8911	82377	37489
1382	5600.73	4.05263	426.224	0.308411	333.548	0.241352	5600.73	426.224	16.3423	0.0118251	6.71608	0.00485968	0	118438	33860	34464	34464	0	0
745	0	0	0	0	0	0	0	0	1.16731	0.00156685	1.67902	0.00225372	673669	632236	631008	632519	47701	0	0
1627	3206.75	1.97096	392.113	0.241004	160.227	0.09848	3206.75	392.113	21.4857	0.0132057	69.7993	0.0429006	0	362390	1541	1766	1746	1004	0
645	196.544	0.304719	127.515	0.197697	83.8681	0.130028	196.544	127.515	14.1755	0.0219775	17.174	0.0266263	325414	807204	343872	344829	7511	4437	0
1760	0	0	0	0	0	0	0	0	15.8462	0.00900351	38.5695	0.0219145	13246200	29685681	7467853	12899720	6989693	7090485	7229107
3260	662.03	0.203077	539.909	0.165616	497.224	0.152523	662.03	539.909	65.3692	0.0200519	93.0657	0.0285478	3296827	3736049	3099254	458716	114134	3003	83705
782	0	0	0	0	45.9108	0.0587095	0	0	8.37542	0.0107103	25.713	0.0328811	945485	698219	809920	190580	33052	613	13741
1429	2553.37	1.78682	301.643	0.211087	483.85	0.338594	2553.37	301.643	22.8281	0.0159749	21.1077	0.014771	11347	13851	6577	7270	7290	0	0
4852	0	0	237.785	0.0490076	0	0	0	237.785	260.849	0.0537612	367.466	0.0757349	174495	1539833	210042	210284	152524	3054	43829
577	231.705	0.401568	45.5754	0.0789869	0	0	231.705	45.5754	8.03253	0.0139212	2.7344	0.004739	448293	3215957	544903	137052	135281	4639	9871
2225	430.308	0.193397	93.1324	0.0418572	0	0	430.308	93.1324	11.3739	0.00511188	25.2333	0.0113408	109419	172539	20080	21769	20737	1291	11932
2086	211.476	0.101379	475.598	0.227995	0	0	211.476	475.598	14.0369	0.00672908	19.4766	0.00933684	1274375	1412382	670896	492998	8772	4346	0
2557	152.128	0.0594948	0	0	0	0	152.128	0	19.5889	0.00766088	66.2014	0.0258903	1317837	3016323	190486	190851	63	7592	0
1517	650.176	0.428594	535.293	0.352863	168.67	0.111187	650.176	535.293	14.4381	0.00951755	21.1077	0.0139141	274663	746418	50254	235193	50333	4623	0
1229	1240.61	1.00945	1405.94	1.14397	191.26	0.155622	1240.61	1405.94	17.2178	0.0140096	59.4853	0.0484014	275397	676216	270199	93830	93830	15711	5036
1083	432.797	0.399628	737.233	0.680732	425.427	0.392823	432.797	737.233	11.9649	0.0110479	27.8238	0.0256914	373045	630040	195109	50375	1694	1241	652
1109	433.481	0.390875	247.344	0.223033	78.8414	0.0710924	433.481	247.344	6.97465	0.00628914	7.67552	0.00692112	917492	132327	805510	86779	27770	677	13577
1114	0	0	113.058	0.101488	0	0	0	113.058	12.9571	0.0116312	15.2071	0.0136509	41377	3164	36792	10581	10594	3996	14876
