DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2
1	2017	471.026	0.233528	163.674	0.0811471	105.187	0.0521501	3182.8	1.64231	97.4628	0.0483207	48.9315	0.0242595
1	559	0	0	95.1232	0.170167	8.41698	0.0150572	265.9	0.475671	5.65414	0.0101147	15.8308	0.0283198
1	486	211.476	0.435135	118.892	0.244635	0	0	98.8	0.203292	5.42798	0.0111687	10.1701	0.0209261
1	449	145.582	0.324236	157.239	0.350199	0	0	0	0	6.98925	0.0155663	0.95944	0.00213684
1	541	0	0	0	0	0	0	372.4	0.688355	7.44886	0.0137687	22.1151	0.0408782
1	4337	646.084	0.14897	648.818	0.149601	232.007	0.0534949	9072.9	3.03848	48.093	0.011089	81.5524	0.0188039
1	750	0	0	0	0	0	0	0	0	3.18821	0.00425094	19.0449	0.0253932
1	947	105.738	0.111656	264.951	0.279779	27.7069	0.0292576	218	0.230201	10.3744	0.010955	7.67552	0.00810509
1	877	0	0	308.136	0.351352	0	0	0	0	4.15853	0.00474176	6.71608	0.00765802
1	750	87.4437	0.116592	161.451	0.215268	0	0	228.8	0.305067	4.81514	0.00642018	0	0
1	696	74.6657	0.107278	130.775	0.187895	0	0	0	0	5.7125	0.00820762	16.3585	0.0235035
1	515	63.0716	0.122469	0	0	0	0	0	0	1.13812	0.00220995	0	0
1	608	105.738	0.173911	0	0	221.902	0.364971	69	0.113487	5.90948	0.00971954	27.1042	0.0445792
1	645	11.0335	0.0171062	0	0	25.2509	0.0391487	0	0	4.66923	0.00723911	12.4727	0.0193376
1	710	297.948	0.419645	117.806	0.165925	57.3885	0.0808289	172.4	0.242817	13.7158	0.0193181	11.5133	0.0162159
1	383	50.5703	0.132037	0	0	13.7732	0.0359615	70.5	0.184073	3.92507	0.0102482	6.71608	0.0175355
1	837	77.2346	0.0922756	284.369	0.339748	0	0	23.4	0.0288533	8.47756	0.0101285	10.5538	0.0126091
1	530	0	0	0	0	0	0	0	0	0.678497	0.00128018	0	0
1	664	584.357	0.880056	53.5016	0.0805747	0	0	245.5	0.382995	15.7149	0.023667	21.0597	0.0317164
1	1128	105.738	0.0937393	65.8268	0.0583571	110.951	0.0983609	132.7	0.136804	18.1516	0.0160919	17.6537	0.0156504
1	1091	179.295	0.16434	269.511	0.247031	0	0	448.9	0.480107	18.2611	0.0167379	32.7169	0.029988
1	459	211.476	0.460732	227.891	0.496495	2.29554	0.00500118	200.6	0.437037	10.3453	0.0225387	19.1408	0.0417012
1	359	0	0	0	0	0	0	0	0	2.32002	0.00646244	4.12559	0.0114919
1	319	316.295	0.991522	0	0	0	0	54.9	0.1721	6.28886	0.0197143	13.4322	0.0421071
1	635	155.562	0.24498	123.328	0.194217	65.0403	0.102426	319.1	0.50252	5.50823	0.00867437	7.1958	0.011332
1	568	97.8212	0.17222	97.4787	0.171617	0	0	0.5	0.000880282	2.13033	0.00375058	14.7754	0.026013
