DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	DistanceToOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1	951	0	0	504.671	0.530674	0	0	368.7	0.387697	12.8768	0.0135403	21.1077	0.0221953	27855	2081	104450	2214	260966	31266	230869
1	672	83.7197	0.124583	128.086	0.190604	174.231	0.259272	31.1	0.0462798	8.03983	0.011964	11.1295	0.0165618	1946	2596	25095	11905	55139	135061	897458
1	352	0	0	0	0	0	0	0	0	0	0	6.71608	0.0190798	0	1734	226557	78837	388429	133615	544051
1	649	5.94112	0.00915427	116.364	0.179298	60.2408	0.092821	59.9	0.0922958	8.23681	0.0126915	29.7427	0.0458285	11267	10630	206509	42706	77890	37642	375649
1	445	0	0	0	0	0	0	8.9	0.02	5.03401	0.0113124	0	0	3568	6663	33071	18776	180031	25863	328022
1	659	104.347	0.158341	270.963	0.411173	0	0	0	0	4.94646	0.00750601	10.362	0.0157238	1588	12101	23508	12065	23104	20593	25859
1	709	95.3674	0.13451	251.93	0.355332	6.46404	0.00911712	208.3	0.293794	7.31025	0.0103107	0	0	10908	432	300485	37014	678589	12342	1025967
1	382	46.8606	0.122672	178.404	0.467026	31.8476	0.0833706	128.7	0.336911	9.74701	0.0255157	23.2664	0.0609069	0	0	16587	16596	100728	495605	266849
1	597	118.969	0.199278	274.05	0.459045	0	0	0	0	10.6663	0.0178664	29.5987	0.0495791	6863	1843	8464	8498	766870	1963	1023363
1	779	11.953	0.015344	0	0	293.052	0.376189	123.2	0.158151	7.11327	0.00913128	0	0	0	4035	172303	6670	6075	574185	151172
1	567	15.6308	0.0275676	0	0	0	0	68.5	0.120811	1.36429	0.00240616	0	0	6791	9113	112678	12250	105945	2436209	267432
1	793	250.982	0.316497	228.159	0.287716	73.3045	0.0924395	116.6	0.147037	11.4907	0.0144901	10.218	0.0128853	19784	3155	39828	15020	71364	1084851	344973
1	1387	211.476	0.15247	282.369	0.203583	0	0	513.4	0.370151	15.9848	0.0115247	7.5316	0.00543014	18108	0	4401	4401	314608	252496	363212
1	534	446.694	0.836505	111.687	0.209151	0	0	34.3	0.0642322	7.28108	0.013635	6.71608	0.0125769	11113	2541	8247	911	7606	453136	21455
1	639	162.745	0.254687	6.93539	0.0108535	67.811	0.106121	43.4	0.0679186	7.38321	0.0115543	0	0	0	5133	20459	20459	19332	38672	7749
1	956	18.8375	0.0197045	104.511	0.109321	45.7012	0.0478046	99.2	0.172522	4.81514	0.00503676	6.71608	0.00702519	4811	3715	507473	43976	1040887	1551181	1652478
1	771	83.4854	0.108282	168.655	0.218749	0	0	0	0	2.34191	0.00303749	13.4322	0.0174217	13406	5210	30191	6510	103412	103798	139752
1	483	38.267	0.0792278	128.657	0.26637	0	0	84.1	0.17412	1.02869	0.00212979	10.6018	0.0219499	13417	17002	57743	9954	82730	35977	115127
