Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	DistanceToOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
425	0	0	88.1785	0.207479	120.133	0.282666	0	0	2.66292	0.00626569	0.23986	0.000564376	0	4768	4575	1933	1784	331103	12483
1326	951.644	0.717681	594.498	0.448339	110.951	0.0836735	557.1	0.420136	13.6137	0.0102668	19.3327	0.0145797	1592567	89968	80845	80845	104659	265219	186895
341	102.98	0.301993	0	0	92.5811	0.271499	13.1	0.0384164	27.0523	0.0793324	31.2298	0.0915829	6766	3983	3846	3846	3551	750620	8765
319	316.295	0.991522	0	0	0	0	54.9	0.1721	6.28886	0.0197143	13.4322	0.0421071	0	8539	5680	5640	4206	132513	73
428	131.962	0.308323	63.3314	0.147971	116.092	0.271242	315.6	0.737383	9.7616	0.0228075	2.44657	0.00571629	13850	2154	22761	6550	66262	26913	2396
783	0	0	133.634	0.170669	91.0011	0.116221	0	0	4.3774	0.00559055	13.4322	0.0171547	0	7652	798862	7361	1387727	5169970	1373857
374	0	0	0	0	0	0	0	0	1.05057	0.00280902	0	0	0	4042	1614225	1902	1649513	2544534	3218634
741	211.476	0.285392	328.936	0.443908	0	0	0	0	7.87932	0.0106334	7.67552	0.0103583	8348	3563	38617	6434	37596	295861	788882
667	92.3023	0.138384	14.8571	0.0222745	71.2997	0.106896	172.6	0.258771	4.14394	0.0062128	0	0	491775	18648	85196	9055	9221	1309980	1372656
343	0	0	0	0	0	0	174.5	0.508746	0	0	6.71608	0.0195804	0	184652	327438	350726	754484	997910	738771
941	250.253	0.265943	301.609	0.32052	183.839	0.195365	96.5	0.131293	15.372	0.0163358	36.5547	0.0388466	15636	6075	638809	5206	638527	1077911	916848
730	0	0	0	0	0	0	0	0	0	0	0	0	3924	5707	686810	66980	829890	1179551	793748
807	0	0	475.599	0.589342	0	0	163.7	0.20285	8.20762	0.0101705	7.67552	0.00951118	17787	1322	116983	22064	212683	563503	498931
442	123.208	0.278752	0	0	0	0	176.9	0.400226	3.21009	0.00726265	0	0	1563	10836	169468	78098	116614	1810694	1503457
1344	213.315	0.158716	118.892	0.0884616	0	0	748.3	0.649003	20.3549	0.015145	65.242	0.0485431	9534	1032	18527	18507	17454	90746	5773
681	0	0	475.577	0.698351	36.5971	0.0537402	110.2	0.161821	16.1161	0.0236654	50.8503	0.0746701	11804	63077	172003	19543	233321	3190124	141387
903	105.738	0.117096	0	0	0	0	395.8	0.45442	17.2178	0.0190673	19.3327	0.0214094	0	9758	250517	57757	80105	80589	215272
707	80.9914	0.114556	197.86	0.279858	6.27984	0.00888238	238.1	0.336775	2.70669	0.00382842	13.4322	0.0189988	1044	151412	400711	423999	827757	1071183	812044
457	0	0	0	0	0	0	0	0	1.3424	0.00293743	6.71608	0.014696	150346	110124	835674	16237	835447	2131137	1106141
1049	105.738	0.100799	169.422	0.161508	123.194	0.117439	25.5	0.0243089	6.91629	0.00659322	42.6471	0.040655	0	9180	169912	23915	1222359	4860043	3665192
592	294.411	0.497316	0	0	3.06072	0.00517014	32.1	0.054223	3.96155	0.0066918	13.4322	0.0226895	34124	6034	25561	25593	138461	938399	810362
631	315.488	0.499981	186.728	0.295924	0	0	523.1	0.829002	5.231	0.00829001	6.71608	0.0106436	26262	5127	3374	3374	14972	210033	63321
487	0	0	18.824	0.0386529	169.861	0.348791	220.2	0.452156	6.30345	0.0129434	7.67552	0.0157608	23769	1785	61541	59541	59678	453220	510717
528	310.778	0.588594	356.7	0.675569	0	0	65.5	0.124053	18.6696	0.0353591	20.0043	0.037887	1964	937	46920	1044	358330	368050	598208
1026	0	0	118.892	0.11588	0	0	0	0	11.0748	0.0107942	21.1077	0.0205728	23036	1800	2524718	442298	2568425	3084766	2533055
763	0	0	0	0	0	0	309.8	0.406029	0	0	6.71608	0.0088022	0	1535	11948	11948	258945	56339	217565
813	250.982	0.308711	228.159	0.280638	73.3045	0.0901654	116.9	0.143788	11.6366	0.0143131	11.1775	0.0137484	25906	10809	502472	21574	376937	503298	1239014
504	11.4794	0.0227765	149.446	0.29652	0	0	76.2	0.15119	11.4834	0.0227845	13.1923	0.0261752	2471634	810	55290	5550	55404	24720	136218
275	0	0	21.7969	0.0792616	0	0	0	0	0.787932	0.00286521	2.25468	0.00819885	17168	1821	44074	5473	43121	165796	35517
447	0	0	39.1629	0.0876127	32.3253	0.0723161	78.7	0.176063	1.83121	0.00409667	0	0	14093	4826	68283	14914	69424	650915	99954
521	45.973	0.0882399	0	0	0	0	0	0	9.37493	0.0179941	8.7309	0.016758	0	20359	295130	14954	2090092	3572004	1977015
664	163.54	0.246295	94.5913	0.142457	103.366	0.155672	353.1	0.531777	3.39978	0.00512015	7.67552	0.0115595	0	0	879791	18024	879867	3252704	1951491
687	0	0	0	0	0	0	9	0.130435	0	0	0	0	163913	10894	1192851	53340	1192624	2488314	1463318
601	160.132	0.266443	83.652	0.139188	0	0	145.7	0.242429	2.37839	0.00395738	7.43566	0.0123721	691	0	340036	5355	339352	656444	504570
740	462.303	0.624733	117.806	0.159198	10.385	0.0140337	0.4	0.000540541	2.62644	0.00354924	14.3916	0.0194481	0	22621	577059	44715	874334	874844	1083120
461	18.3892	0.0398898	4.95385	0.0107459	0	0	18.5	0.0401302	4.28985	0.00930552	36.4587	0.0790862	1588420	85821	76698	76698	100512	261072	182748
843	83.6873	0.0992732	0	0	0	0	636.3	0.754804	7.27377	0.00862844	14.6794	0.0174133	379797	21031	42299	31635	87332	113036	1461669
864	602.111	0.696888	25.76	0.0298148	0	0	459.7	0.53206	6.87981	0.00796275	17.4138	0.0201549	8482	3352	295816	50156	1434571	1846312	1607974
403	0	0	0	0	0	0	0	0	0	0	0	0	88624	48402	897450	44934	897223	2192913	1167917
342	0	0	0	0	0	0	0	0	1.35699	0.00396781	0	0	18108	0	4401	4401	314479	252496	363083
831	244.825	0.294615	368.28	0.443177	26.7838	0.0322308	0	0	14.781	0.017787	37.2263	0.044797	414	755	33720	16066	202267	13129	169281
694	0	0	237.785	0.342629	99.4734	0.143333	70	0.100865	3.83752	0.00552956	0	0	77505	592	924335	623875	924135	1194236	1287349
2317	0	0	0	0	0	0	0	0	0	0	0	0	0	9714	48080	2892	41694	206110	52835
720	257.079	0.357054	0	0	0	0	150.5	0.209028	5.80735	0.00806576	2.01482	0.00279837	33930	16671	58739	7255	7434	183279	211
455	393.53	0.864901	0	0	21.425	0.047088	111.3	0.244615	11.8555	0.026056	7.91538	0.0173964	9591	4654	70596	22286	68811	87887	3683
