"Size" "Sum_H3K36me3" "Mean_H3K36me3" "Sum_H3K27me3" "Mean_H3K27me3" "Sum_H3K4me3" "Mean_H3K4me3" "Sum_CTCF" "Mean_CTCF" "Sum_DNaseIHSS1" "Mean_DNaseIHSS1" "Sum_DNaseIHSS2" "Mean_DNaseIHSS2" "DistanceToOrigin" "DistanceToCTCF" "DistanceToDNaseIHSS1" "DistanceToDNaseIHSS2" "DistanceToH3K4me3" "DistanceToH3K27me3" "DistanceToH3K36me3"
"2606" "737" "105.738" "0.143471" "379.461" "0.514872" "110.951" "0.150544" "285.4" "0.387246" "4.58168" "0.00621666" "15.3511" "0.0208291" "11139" "378" "34190" "207" "34327" "1511040" "381383"
"3098" "478" "0" "0" "196.124" "0.410301" "0" "0" "250.3" "0.52364" "3.50191" "0.00732618" "3.35804" "0.00702519" "11448" "4909" "180768" "15450" "370160" "678737" "313776"
"1603" "1028" "47.8119" "0.0465096" "71.7981" "0.0698425" "0" "0" "0" "0" "2.07197" "0.00201554" "22.0671" "0.0214661" "3953" "3988" "4485" "0" "37218" "127149" "572751"
"3705" "531" "317.215" "0.597391" "118.892" "0.223903" "0" "0" "281.6" "0.53032" "6.35452" "0.0119671" "7.62755" "0.0143645" "0" "525" "1743616" "75773" "2346032" "3475332" "4149432"
"1764" "1010" "118.744" "0.117568" "19.2984" "0.0191073" "0" "0" "214.3" "0.212178" "7.36132" "0.00728844" "15.351" "0.015199" "1695" "1743" "259158" "1515" "519233" "76988" "526672"
"677" "769" "0" "0" "280.39" "0.364616" "0" "0" "69" "0.0897269" "8.55052" "0.011119" "0" "0" "13406" "5210" "30191" "6510" "103412" "103798" "139752"
"3555" "1073" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "2336" "44317" "62599" "25341" "199783" "1145367" "224229"
"780" "2041" "179.996" "0.08819" "0" "0" "0" "0" "97.3" "0.205708" "5.99703" "0.00293828" "30.0305" "0.0147136" "16752" "26520" "543512" "87564" "2993007" "2770448" "3163045"
"3758" "585" "162.744" "0.278196" "370.574" "0.633459" "110.951" "0.18966" "119.1" "0.20359" "10.5787" "0.0180833" "0" "0" "45584" "20266" "84803" "51003" "175560" "606764" "294463"
"2853" "1097" "142.075" "0.129513" "142.454" "0.129857" "107.418" "0.0979201" "1294.7" "1.35571" "4.12204" "0.00375756" "15.3511" "0.0139937" "10903" "631" "40991" "15609" "13804" "22512" "109079"
"1866" "497" "0" "0" "167.771" "0.337567" "0" "0" "20.1" "0.0404427" "1.21838" "0.00245146" "14.2477" "0.0286674" "950383" "12618" "4244070" "10999" "1187003" "21030031" "4590550"
"1738" "1128" "104.623" "0.0927506" "369.486" "0.327558" "110.951" "0.0983609" "223.2" "0.226599" "8.84234" "0.00783896" "27.8238" "0.0246665" "810" "12513" "11039" "6099" "10716" "795575" "182755"
"223" "412" "0" "0" "147.625" "0.358312" "78.8135" "0.191295" "320.6" "0.789655" "15.9556" "0.0387273" "35.8351" "0.0869784" "7567" "1696" "686734" "0" "2425819" "2935363" "2756817"
"851" "878" "0" "0" "0" "0" "0" "0" "842.2" "2.55988" "1.11624" "0.00127134" "13.4322" "0.0152986" "0" "2825" "110970" "3230" "110511" "339345" "106130"
"2384" "1061" "66.8952" "0.0630492" "266.102" "0.250803" "43.3128" "0.0408226" "260.4" "0.245429" "10.068" "0.00948918" "20.9638" "0.0197585" "1719" "17131" "195855" "77839" "467873" "82951" "426493"
"1029" "688" "105.259" "0.152992" "223.914" "0.325456" "87.2305" "0.126789" "63.3" "0.0920058" "11.0165" "0.0160123" "7.67552" "0.0111563" "0" "1999" "20508" "21856" "22161" "31111" "565652"
"2078" "445" "73.5568" "0.165296" "115.92" "0.260495" "19.8947" "0.0447071" "444.1" "0.997978" "3.97613" "0.00893513" "0" "0" "65184" "14257" "281573" "43613" "374832" "43776" "2136861"
"3836" "744" "67.5918" "0.0908492" "504.022" "0.677449" "69.9634" "0.0940368" "184.8" "0.248387" "7.3978" "0.00994328" "0" "0" "12" "1909" "27784" "6972" "142659" "5461" "95848"
"2081" "807" "529.206" "0.655769" "177.489" "0.219936" "0" "0" "132.7" "0.164436" "10.0315" "0.0124307" "25.2813" "0.0313275" "1703" "4477" "180715" "27818" "316369" "1065217" "821192"
"3357" "717" "283.64" "0.395593" "134.682" "0.18784" "41.6099" "0.0580334" "999.9" "1.45758" "33.9759" "0.0473862" "61.74" "0.0861088" "398545" "309174" "38001" "15333" "272125" "1825355" "263585"
"1392" "488" "104.818" "0.214792" "214.997" "0.440568" "102.534" "0.210111" "0" "0" "15.4668" "0.0316943" "27.0562" "0.0554431" "0" "346" "38556" "476" "14299" "95903" "88"
"3986" "1179" "286.535" "0.243033" "346.24" "0.293672" "106.704" "0.0905035" "199.8" "0.189384" "9.38951" "0.00796396" "22.0671" "0.0187168" "0" "10562" "51095" "89225" "530061" "1503060" "805906"
"4065" "1041" "105.738" "0.101573" "10.6382" "0.0102192" "0" "0" "0" "0" "3.98343" "0.00382654" "20.7239" "0.0199077" "9586" "4970" "114771" "16665" "24945" "35985" "361261"
"791" "443" "88.7675" "0.200378" "100.771" "0.227474" "0" "0" "229.5" "0.518059" "1.94794" "0.00439716" "5.133" "0.0115869" "0" "0" "523603" "3353" "586285" "4180030" "2518267"
"3171" "673" "47.5308" "0.0706253" "202.681" "0.301161" "40.6375" "0.0603826" "105.1" "0.176047" "13.4897" "0.0200441" "12.8085" "0.019032" "4344" "5848" "200037" "96070" "197989" "1238325" "526878"
"1116" "1019" "105.738" "0.103766" "118.892" "0.116676" "105.513" "0.103546" "0" "0" "4.3774" "0.00429578" "13.2882" "0.0130405" "5679" "3024" "567186" "184082" "1791260" "2428055" "1988833"
"1888" "835" "16.503" "0.0197641" "0" "0" "0" "0" "475.9" "0.647483" "4.20959" "0.00504143" "0.815524" "0.000976675" "28271" "12715" "1604972" "72922" "1077909" "7462473" "2019652"
"905" "580" "28.5033" "0.0491436" "74.3082" "0.128118" "88.7609" "0.153036" "418" "0.72069" "7.61667" "0.0131322" "0" "0" "1976" "0" "415016" "47897" "283597" "136054" "475826"
